term,definition
Equation of exchange,This is an economic calculation showing the relationship between four measures. Its formula is:
Equifax,"This is the name of a consumer credit reporting agency, based in Atlanta, Georgia, in the US. Founded in 1899, the organisation serves customers all over the world. It is listed on the New York Stock Exchange (NYSE)."
Equity,"In finance, the equity definition is the amount of money the owner of an asset would have after it was sold and any debts associated with it were paid off."
Equity Capital Markets,"An equity capital market (ECM) is a market between companies and financial institutions that aims to raise equity capital for the companies. The key players within ECMs are big financial institutions such as Citigroup, Goldman Sachs and UBS."
Equity carve-out,"It's a form of corporate reorganisation in which a company creates a new subsidiary and then IPOs it, while keeping management control. Typically, up to 20% of subsidiary shares are offered to the public, with the parent company retaining an equity stake in the subsidiary and offering strategic support and resources."
Equity firm,What is an equity firm? Equity firms make investments in the private equity of a number of companies through a variety of investment strategies. Such firms are not listed and therefore do not trade their shares publicly. These firms often use their own capital or capital raised from investors to take companies private with the aim of running them better and later taking them public or selling them at a profit.
Equity premium puzzle,"It's the phenomenon that returns on stocks over the last century have been far higher than returns on government bonds. For the past century, the equity premium (equity returns minus bond returns) has been around 6% on average - an unexpectedly large percentage that has long puzzled financial academics."
Equity ratio,"Equity ratio is a simple equation that measures the financial strength of a company. It divides a company’s total liabilities by its stockholders' equity, which is the funds put into the business by investors."
Equity Risk,"Investing cash in a company's stock is usually more risky than investing in so-called 'risk free' investments, such as government bonds. This is called equity risk."
Equity shares,"An equity share definition is: commonly referred to as an ordinary share or common stock, an equity share is an investable type of security issued by a company to the public. It gives partial ownership of a public company to a buyer, also known as a shareholder, who undertakes the entrepreneurial risk associated with a business venture. Holders of this type of shares are entitled to a portion of the company’s profits and get the right to vote on corporate matters, such as setting corporate policy, accepting takeover bids and electing the members of a board of directors. Speaking from a company’s perspective, equity shares are the main source of finance of a firm."
Equity stake,"Equity stakes represent ownership in a company. Investors who hold equity stakes have a say in how the company is run and, in some cases, even vote on important matters such as electing board members or making major business decisions."
Equity valuation,"Equity valuation is a financial term used to refer to all the techniques, methods and tools implemented to estimate the true value of a company’s equity. It is commonly referred to as the most pivotal aspect of successful investment decision-making."
Equity-linked note,Equity-linked notes (ELN) are debt instruments that allow a borrower to raise funds by promising to repay a lender in a timeframe agreed by contract.
ERC-20,"If you are interested in the cryptocurrency market, you have probably come across the term ERC-20 token. But what does ERC-20 stand for?"
Erie War,"This was a battle between powerful 19th century American businessmen, who sought to gain control of the lucrative Erie Railroad Company. The business owned and operated the Erie Railroad, which was the longest railway line in the world and stretched from Buffalo to New York."
ESG Quant,"This is an investment strategy created by the Anglo-German investment management firm Arabesque Partners. It involves quantitive equity investing using non-financial ESG information - environmental, social and governance data."
Ethereum Virtual Machine (EVM),An Ethereum Virtual Machine (EVM) is a computational platform that allows developers to create decentralised applications (DApps) on Ethereum. The EVM is where all the Ethereum accounts and smart contracts are stored.
Eurasian Economic Union,The Eurasian Economic Union is an internationally recognised union of culturally and economically aligned countries made up of former Soviet republics located in North and Central Asia as well as in Eastern Europe.
Euro money market,This is the money market for borrowing and lending currencies held as deposits in banks outside the country where they are legal tender. It is often used by institutions who wish to circumvent domestic regulations on certain transactions.
Euro Stoxx 50 Index,The EUROSTOXX 50 Index (sometimes called the Dow Jones EUROSTOXX 50) is Europe’s leading Blue-chip index for the Eurozone and provides a Blue-chip representation of super sector leaders in the Eurozone.
Eurodollars,Eurodollars are deposits of US dollars in banks outside of the United States – typically in Europe (hence the name). As the deposit is made outside of the US it escapes banking regulations from the Federal Reserve and the Securities and Exchange Commission.
Euronext,"Euronext is a pan-European stock market operating in Belgium, France, the Netherlands, Portugal and the UK. It comprises the stock exchanges of Lisbon, Amsterdam, Paris and Brussels and has the UK-based regulated securities market operation called Euronext London. It functions as a single exchange with a single order book."
European Central Bank (ECB),"The European Central Bank (ECB) is the central bank that supervises over 120 central and commercial banks based in the 19 EU countries that use the euro (EUR) currency. Created in June 1998 after the Treaty of Amsterdam, the ECB is headquartered in Frankfurt, Germany."
European Depositary Receipts (EDRs),"A simple European depositary receipt (EDR) meaning is a bank-issued security, representing a specified number of shares in a non-European company’s stock. It is the European equivalent of an American depositary receipt (ADR) and global depository receipts (GDRs)."
European Market Infrastructure Regulation,"European Market Infrastructure Regulation was created to improve transparency and reduce the risks associated with the derivatives market. The regulation was introduced by the EU in 2012 and is specifically designed to control over-the-counter (OTC) derivatives, which are private trades conducted between two parties without the supervision of an exchange."
European Securities and Markets Authority,"The European Securities and Markets Authority (ESMA) supervises the EU Single Market, improving investor protection and introducing legislation that creates a stable financial market."
European Systemic Risk Board,"The European Systemic Risk Board (ESRB) is an independent body that ensures financial stability in the European Union. It includes representatives from the European Central Bank (ECB), supervisors from EU member states, and the European Commission which proposes legislation and manages the day-to-day business of the EU."
Eurozone,"It's an economic region made up of all the countries in the European Union that use the euro as their national currency and sole legal tender. Officially called the euro area, the eurozone came into being in 1999 and is now one of the largest economic regions in the world with 19 member countries, as of January 2017."
EV/EBITDA,"This is a calculation used to value a business. EV stands for enterprise value, while EBITDA is earnings before interest, taxes, depreciation and amortisation. It’s a measure of a company’s operating performance based on data from its income statement."
EV/GCI,This is a metric used to value a business. It stands for enterprise value/gross cash invested. It’s an advanced valuation technique that compares the value of assets on a company's balance sheet with their current market value.
EV/Sales,Enterprise value-to-sales is a business valuation method that compares the total value of a company with its sales. Sales is defined as the value of the products a company sells in a given year.
Event-driven investing,"It's a hedge fund investment strategy that aims to take advantage of corporate events such as earnings calls, mergers or acquisitions that can result in a company's stock being temporarily mispriced. In particular, this strategy exploits the tendency of shares to drop during times of change."
Exchange,"A marketplace where buyers and sellers come together to trade in stocks and shares, commodities, derivatives, currencies and other financial instruments."
Exchange rate risk,Exchange rate risk is the possibility that the value of an investment will change when the currency is exchanged.
Exchange traded fund (ETF),Exchange traded fund (ETF) is a useful instrument in an investor’s arsenal. Yet what’s the mechanics behind this investing vehicle and how do the ETFs work? Here we take a look at the ETF definition.
Exchange traded note (ETN),An exchange traded note (ETN) is a debt security issued by a bank and traded on a stock exchange. Their value will be based on the performance of a specific index and the payout due to the investor on maturity will reflect this.
Exchange traded products (ETP),"ETPs comprise a family of securities that are traded on stock markets just like a common share and are traded intraday. Generally, ETPs are created in order to track a financial instrument, whether a share-price index, a currency, a commodity or an interest rate. The best-known ETPs are exchange-traded funds (ETFs)."
Exclusivity,Exclusivity is a term used in the sale of a business. It refers either to an agreement that the broker who introduced the buyer to the seller has the right to be paid a success fee or to an agreement that the seller cannot look for an alternative buyer once the sale is agreed.
Exercised option,An exercised option is when the person holding the option decides to buy or sell the underlying shares from the option’s issuer at a predetermined price.
Exit-strategy,An exit strategy is a carefully planned way to liquidate assets if needed and can be because of either because of positive or negative reasons.
Expansion Option,"In finance, an option typically refers to a derivative financial instrument. Options, such as a call or put option, derive their values from an underlying asset and give the option holder a right to buy or sell the underlying asset. However, expansion options are a subset of real options, which reflect opportunities or options that a business may or may not choose to realise depending upon the surrounding circumstances."
Expectations hypothesis,This is a formula used to predict interest rates. It's based on the idea that long-term interest rates can help forecast short-term interest rates in the future.
Expected loss,This is a calculation used by lending institutions to help them understand losses they may incur as a result of lending to a borrower that may default.
Expected Monetary Value (EMV),What is expected monetary value (EVM)? It’s a risk management tool that aims to predict the value of future events.
Expected return,Expected return is the amount of profit or loss anticipated from an investment.
Expected shortfall,This is a way of measuring the market risk or credit risk of a portfolio. It's a useful extension to value at risk.
Expenditure,"Expenditure describes the movement of money out of a business, household or government either in return for goods or services or in order to service a debt or meet a legal claim. Expenditure is the other half of the equation that it shares with income."
Expense ratio,"It's a term used in relation to fund management and describes the cost of running the fund in question. All costs such as salaries, taxes, marketing, administration, fees and other expenses are added up and expressed as a percentage of the average value of assets under management (AUM)."
Experian,"It's a global information services group, listed on the London Stock Exchange, with around 17,000 employees. It has grown from a credit-checking business to become one of the world's biggest business information companies, helping firms to assess their overall risk."
Expiration Date,"The expiration date has two slightly different meanings for America and Europe. According to Nasdaq, in the US the expiration date is the last day that on which a future or option may be exercised. In Europe, it's the only day."
Expire dividend right,It describes the expiry of the right to be paid a dividend on a particular share. Companies set a cut-off date after which someone buying the stock will not be entitled to the latest dividend. Such shares are described as ex-dividend.
Exponential utility,"It is a class of utility function that's used in many financial investment decisions. An exponential utility function has just one adjustable numerical parameter, called the risk tolerance, and there are straightforward ways to discover an appropriate value of this parameter for a company or individual."
Export-Import Bank of the United States (EXIM),"EXIM stands for Export-Import Bank of the United States, and is the official export credit agency of the US. The EXIM provides export businesses with financing and assistance necessary to compete globally."
Exposure factor,This is the proportion of the value of an asset that is likely to be lost due a particular risk. It's expressed as a percentage of the original value.
External Financing,"This describes money a company may raise from outside its business. It can refer to equity issues, where the firms in question raise funds thanks to outside investment."
Extreme value theory,This is a way to measure the likelihood of an extremely unlikely event. It's useful for insurers to help them measure the risk of disasters such as wildfires or earthquakes.
FAANG stocks,"‘FAANG’ is an acronym, the letters of which represent the names of the five largest technology companies in the US – Facebook (FB), Amazon (AMZN), Apple (AAPL), Netflix (NFLX) and Google owner, Alphabet (GOOGL). Each FAANG company is listed on the NASDAQ or the New York Stock Exchange (NYSE)."
"Face value (par value, principal)","Face value, also known as par value, is a trading term used to describe the nominal value of a security. For bonds this is the amount that the bondholder will receive when the bond matures. For stocks, it is the value per share from the issuer."
Factoring,This is a transaction which involves a business selling its receivables to an intermediary known as a factor. It's sometimes done to help a company meet its immediate cash needs.
Failure to deliver,"Failure to deliver occurs when one or more member of a transaction does not deliver on their respective commitments. When trading, once any trade has been made, both parties will need to pay and deliver the underlying asset by a specific settlement date."
Fair Value Accounting,Fair value accounting continually captures changes in asset and liability values over time.
Fama–French three-factor model,"Within the framework of portfolio management and asset pricing, the Fama-French three-factor model is a structured model designed to explain stock returns. The three factors that feature in this model are company size, market risk and company price to book ratio."
Fannie Mae: definition and meaning,"Fannie Mae or the Federal National Mortgage Association (FNMA) is a government-sponsored enterprise (GSE), which was created to stimulate the housing market in the United States. The company, established in 1938 by the US Congress during the Great Depression, aimed to make more mortgages available to low and moderate-income families."
Faroese Securities Market,The Faroese Securities Market is a securities market established in 2000 for the Faroe Islands. It is technically operated by the Icelandic Stock Exchange.
FAS 133,"Statements of Financial Accounting Standards 133, also known as FAS 133, is an accounting standard that requires companies to calculate all assets and liabilities on their balance sheet at fair value. Issued by the Financial Accounting Standards Board (FASB) in June of 1998, FAS 133 was created because of major hedging losses."
Fat-finger error,"A fat fingered error is a computer-related input error which takes place on the financial markets, meaning that a buy or sell order is placed for far more than intended, for the incorrect contract or stock or with any other feasible input errors."
Favourite-longshot bias,"A favourite-longshot bias is a term used within finance, economics and sports betting. It refers to a phenomenon where the bettor will choose to bet on the long shot over the favourite. This is a studied phenomenon where the long shots are over-valued and the favourite is under-valued."
FCA,"The FCA stands for the Financial Conduct Authority. It is the UK's financial regulator, responsible for 56,000 financial firms and markets. It replaced the Financial Services Authority (FSA) in 2013."
Featherbedding,Featherbedding refers to the labour union rule or safety statute requiring employers to hire more employees than are needed or to limit production.
Federal Deposit Insurance Corporation,The Federal Deposit Insurance Corporation (FDIC) is a corporation in the US that delivers deposit insurance to depositors of banks in the United States. It is funded by members’ banks' insurance dues and has a line of credit with the United States Department of Treasury worth $100 billion.
Federal Reserve,"The Federal Reserve System is the central bank of the United States. It was founded by the US Congress in 1913 to oversee a safer, more stable monetary and financial system. It's often referred to simply as the Fed."
Federal takeover of Fannie Mae and Freddie Mac,"In September of 2008, the Federal National Mortgage Association (Fannie Mae) and the Federal Home Loan Mortgage Corporation (Freddie Mac) were placed into conservatorship of government sponsored enterprises, by the US Treasury. This event took place during the then ongoing subprime mortgage crisis."
Feeder fund,"A feeder fund is a type of investment fund that does the majority of its investments through a master fund, using a master feeder relationship. It is similar to a strategy called fund of funds, but the main difference is that the master fund does all the investing."
Fence,"Also known as a collar, it is an option strategy that puts a restriction around a commodity or a security in order to protect profits. This strategy involved buying multiple options, which are all due to expire at around the same time."
Fiat Money,"Fiat money can be defined as a currency established as legal tender by government regulation. A fiat currency is not backed by a physical commodity such as gold or silver. Fiat money lacks intrinsic value, deriving its value from public trust in the issuing government, and trust between parties engaged in buying and selling."
FICO,"This is a data analytics company based in San Jose, California. It calculates consumer credit scores, helping lenders to gauge potential risk when issuing loans or credit. Founded in 1956, it was originally called Fair, Isaac and Company."
Fiduciary,"A fiduciary is a person who's in a position of trust, either legally or ethically and invests money on behalf of a beneficiary. For example, for investors it could be a banker, accountant or wealth manager."
Fiduciary rule,The US Department of Labor fiduciary rule is a piece of legislation that will automatically promote all financial advisers who work on retirement accounts or savings to fiduciary level. This means they will be legally bound to giving their clients advice in their best interests.
Fill or kill,"This is a type of order issued by a buyer or seller to a broker. It is an immediate request, meaning the order must be completed at a certain price straight away. If this is not possible, the order must be cancelled."
Film Musicians Secondary Markets Fund,This is a not-for-profit organisation that collects and distributes residual payments to musicians who work in film and television.
Financial Adviser,"As the name suggests, a financial adviser is someone who offers advice on financial matters. Some cover the whole spectrum from investments, estate planning and insurance to mortgages, taxes and pensions and some even hold client assets. Others are more narrowly focused."
Financial asset securitization investment trust,This is a type of financing tool that was created in 1996 and designed to be used for the securitization of non-mortgage assets. Securitization occurs when an illiquid asset is turned into a security.
Financial astrology,"This is the practice of relating the movement of financial markets to the stars. It's not used in standard economic practice, but has been around in some form for thousands of years."
Financial betting,"It is wagering on the price development of a financial instrument at a later date relative to the current price, against odds offered by a bookmaker. The outcome of the wager at settlement is binary - either a win or a loss."
Financial CHOICE Act,"In June 2017 US Congress passed a Republican bill that, if also approved by the Senate, will see a reduction in the restrictions imposed on Wall Street following the 2008 crash."
Financial condition report,A financial condition report (FCR) is used in accounting to document the solvency of an insurance company. The report is based on two criteria; the company’s current financial status and an assessment of its ability to handle future risks such as a poor economic conditions.
Financial Crisis Inquiry Commission,"It was a 10-member commission appointed by the US government to investigate the causes of the 2007-10 financial crisis. Chaired by Phil Angelides, its first public hearing was held in January 2010. The commission reported its findings in January 2011."
Financial crisis of 2007–2008,"This was one of the worst economic disasters in history. The signs that all was not well began with images of Northern Rock customers queuing round the block to withdraw their savings in September 2007, before the US financial system crashed. The crisis quickly spread worldwide thanks to modern markets being intrinsically linked."
Financial forecasting,"The way to define financial forecasting is as the estimating of the future financial performance of a company. Businesses that list their shares on exchanges are required to regularly report their financial results, and some publish their forecasts of financial metrics for the coming reporting period."
Financial Information eXchange,"Also known as FIX, Financial Information eXchange enables electronic communications to be sent between financial institutions and brokers in real time. It’s a system that helps to reduce trade costs, increasing the speed and efficiency of financial markets around the world."
Financial institution (FI),"Are you looking for a simple financial institution definition? To define financial institution (FI), the term refers to any public or private organisation that is engaged in financial activities such as banking, dealing in stocks and other securities, or providing money services including currency exchange."
Financial integration,"It's a phenomenon where financial markets in neighbouring, regional or global economies are closely linked together - for example, through cross-border capital flows, foreign participation in the domestic financial markets, and information sharing among financial institutions. Legal restrictions can sometimes hinder financial integration."
Financial Market,"What is financial market? It’s a location or facility for the trading of financial instruments such as shares, currencies, bonds or commodities. A market may have a physical trading floor or it may exist only in cyber-space, but in both cases there will be rules of conduct that traders must observe."
Financial market participants,"They're all the people and organisations that do business in a financial market, from banks and other lenders to individual investors. There are two basic financial market participant categories – investor v speculator, and institutional v retail."
Financial Model,"Financial model is a mathematical model showing the likely financial outcomes of any asset, whether a portfolio of shares or the performance of an individual business. Typically, financial models examine different future economic scenarios or valuations of individual assets, whether securities, portfolios or businesses."
Financial plan,A financial plan can serve as a roadmap to help people achieve their financial goals. Understanding the financial planning definition can help you build such a plan on your own or with the help of a professional financial planner.
Financial Planner,"Planning for your finances can be a complicated task. For this reason, knowing what a financial planner can do for you in this particular field can help you in case you are struggling to improve the way you manage your money."
Financial Product (Instrument),"A financial instrument is any asset or bundle of assets that can be traded. The ability to buy and sell is part of the definition of a financial instrument, as is the fact that they can be traded anonymously among people who have never met each other."
Financial quote,"In investing, a quote is the bid price or ask price for a stock. The bid quote shows the highest price and quantity at which a buyer is willing to buy, while the ask price indicates the lowest price a seller will accept."
Financial Ratio,"It's the quantitative relation between two selected numerical values taken from a company's financial statements. Many standard ratios are utilised to assess the financial condition of a firm; these ratios can be used by managers, current and potential shareholders and a firm's creditors to gain insight into the company's performance."
Financial Regulation,"It's a form of regulation or supervision under which financial institutions, such as banks, are subjected to certain requirements and restrictions. Financial regulation aims to maintain the integrity and stability of the financial system, secure adequate consumer protection, reduce financial crime and maintain market confidence."
Financial Report,"A financial report, sometimes called a financial statement, is a document prepared by a company giving its overall financial position. Most jurisdictions compel at least larger companies to publish such information annually. This is for the benefit of both the company's shareholders and creditors."
Financial result,Financial results report on a company’s bottom line and are a key performance indicator. The term refers to the amount of profit or loss a company makes during a set period of time.
Financial Risk,"Financial risk is the risk that a company won't be able to meet its obligations to pay back its debts. Which in turn could mean that potential investors will lose the money invested in the company. The more debt a company has, the higher the potential financial risk."
Financial risk modelling,"It’s a system to help you predict the financial outcome for any stock, portfolio or company by assessing the likelihood and scale of risk involved. The idea is to accurately identify the dangers, and explore how each of the risk factors could affect the outcome of the activity."
Financial services,"They are the services provided by the finance industry, embracing a wide range of businesses that manage money including banks, credit card providers, insurers, investment funds and consumer finance firms. Financial services companies tend to be especially concentrated in financial centres such as London, Frankfurt, Tokyo and New York."
Financial Services Compensation Scheme (FSCS),"The Financial Services Compensation Scheme (FSCS) is a statutory deposit protection and investor compensation fund in the UK. What does the FSCS do? Operating independently of the government or the financial services industry, the sole purpose of the FSCS is to protect consumers if financial firms fail and are unable to repay their obligations."
Financial signal processing,Financial signal processing is the analysis of key signals within financial markets. It looks for trends and patterns in behaviour that can be used to forecast future assets’ price action.
Financial Stability Board,It’s an international financial regulator created by the G20 to advise world leaders on fiscal policy. The main objective of the Financial Stability Board (FSB) is to identify problems in the global financial system and recommend action to address them.
Financial Stability Oversight Council,"It’s a committee responsible for monitoring the financial system in the US. The council reviews systematic risks affecting the entire financial industry, and can approve disciplinary action against financial institutions."
Financial Statement,"A financial statement is a summary report, which shows how a company has used the funds entrusted to it by its lenders and shareholders, and what its current financial position is. It comprises the balance sheet, the income statement, the statement of retained earnings and a cash flow statement. In most jurisdictions, publicly traded companies are required to publish a financial statement at set periods of time, although the frequency and level of detailing may vary from country to country."
Financial Times Stock Exchange (Footsie),"The FTSE 100 definition is the same as the definition of the Financial Times Stock Exchange 100 Index, with the FTSE 100, or Footsie, being shortened names (or slang names) for the stock market index. The index comprises the top 100 companies listed on the London Stock Exchange in terms of market capitalisation. Companies listed on the FTSE today represent roughly 81% of the London Stock Exchange’s entire market capitalisation."
FINRA,"FINRA is an acronym for the Financial Industry Regulatory Authority, a US practitioner-based self-regulatory organisation that supervises the business conduct of dealers and brokers both with each other and with the investing public."
Fintech,"Fintech is the shortened version of the phrase Financial Technology, which is now used to describe businesses that offer financial services using software and modern technology. Some fintech developments have improved traditional services, for example mobile banking apps, while other have revolutionised services such as pay per mile car insurance or created new products, such as Bitcoin."
First Chicago Method,"It's a business valuation approach used by venture capital and private equity investors that combines aspects of both a multiples-based valuation and a discounted cash flow valuation approach. The method was first developed by First Chicago Corporation Venture Capital, and is named after it."
FIS (company),"Fidelity National Information Services Inc. (FIS) is an international provider of financial services technology and outsourcing services based in Jacksonville, Florida, that employs over 55,000 people around the world. The company provides payment processing and banking software, services and outsourcing of associated technology."
Fiscal policy,"What is fiscal policy? Fiscal policy is a term usually used in a political context when discussing the state of an economy. It refers to changes made by governments in relation to a country’s finances, usually in an attempt to stabilise a nation’s economy."
Fitch Ratings,"Fitch Ratings is one of the three top international credit rating agencies, along with Moody's  and Standard & Poor's, that award credit rating grades to a country or large corporate borrower indicating the probability of default. Credit ratings are used by investors as indicators of how likely that they will get the money owed to on the terms agreed when it invested."
FIXatdl,It's a standard for the exchange of meta-information that's needed to enable algorithmic trading activity in the financial markets. The acronym stands for FIX Algorithmic Trading Definition Language. It works in conjunction with the Financial Information eXchange (FIX) protocol - the common language of electronic trading in the securities market.
Fixed asset,A fixed asset is an item of property that is used in company operations to generate income.
Fixed bill,It's an energy pricing scheme in which a consumer pays a pre-set sum for their energy consumption over a certain period. The price is independent of the amount of energy used or the unit price of the energy. Energy companies can offer fixed bills by hedging the risks of varying demand using weather derivatives.
Fixed deposit,"It's a financial instrument offered by banks which gives investors a higher interest rate than a regular savings account until the maturity date. In the US, Canada and Australia it's known as a term deposit or time deposit, while in the UK and India it's called a bond."
Fixed income,It's a style of investing in which real return rates or periodic income is received regularly and at reasonably predictable levels. Retired people tend to favour fixed income investments because of the stable income stream they offer.
Fixed income arbitrage,"Fixed income arbitrage is an investment strategy that aims to profit from the small differences in interest rates between fixed income securities (stocks, bonds and other investments)."
Fixed-asset turnover,Fixed-asset turnover is an equation that can help creditors and investors measure how effectively a business is using its fixed assets to generate sales. It’s an efficiency ratio that measures a company’s return on investment in premises and equipment.
Fixed-income attribution,It’s a method for assessing a portfolio manager’s performance with investments that rely on fixed-income assets. It breaks down the returns of each component so you can evaluate them individually instead of looking only at the aggregate performance of the portfolio.
Flash crash,"It's a very rapid, deep and volatile fall in security prices within an extremely short period of time. A flash crash often stems from trades executed by black-box trading and high-frequency trading, whose extreme speed can lead to the loss and recovery of billions of dollars in minutes or seconds."
Flight-to-liquidity,A sudden shift in which a large number of investors sell illiquid assets in order to buy liquid assets. This can lead to panic and in some cases has triggered a financial crisis.
Floor Broker,"A floor broker, also known as a pit broker, is an independent broker who executes orders on the floor of a stock or commodity exchange on behalf of clients that can include banks or brokerages. They can act as a back-up if the market is overwhelmed by orders. It is their duty to make sure they get the best competitive price available for their temporary clients."
Flow-through share,A tax incentive for investors in Canadian resource companies which allows taxpayers to deduct eligible expenses incurred by the company as if they were the investor’s own expenses.
Focused Fund,"A focused fund definition  describes this as a type of mutual fund that invests in a small number of stocks or bonds that share similar characteristics, such as limited sectors, rather than holding positions in a large number of diverse assets."
Food speculation,"What is food speculation?
The buying and selling of futures contracts by traders with the aim of profiting from changes in food prices. Food speculation can be both positive and negative for food producers and buyers."
"Foreign Exchange (Forex, FX)","Looking for a foreign exchange definition? Want to know what is forex trading? Foreign exchange – also known as forex or FX – is the conversion of one currency into another, or the global market in which currencies are traded."
Foreign exchange hedge,A method used by businesses and investors to reduce or eliminate the risk of unwanted currency fluctuations when carrying out transactions in foreign currencies.
Foreign exchange risk,Foreign exchange risk is the threat of financial loss as a result of changes to foreign exchange rates.
Forex signal,An indication of when to trade on the foreign exchange market. The signal may be based on human analyses of market movements or a tracking software.
Forfeiture,"Forfeiture is the seizure of any property due to defaults on contractual obligations or due to illegal conduct of the property holder. Under the US federal law, forfeiture can be of the following types: criminal forfeiture, civil judicial forfeiture, and administrative forfeiture."
Forward bet,"It is a type of spread bet that expires after a fixed period, in contrast with a daily funded bet, which can run for as long as the trader is prepared to pay to keep it open. Both types of bets are used to speculate on market movements."
Forward Contract,"Looking for a forward contract definition? A forward contract is a contract between two parties that commits them to buy or sell an asset at an agreed price on a specific date in the future. This makes it a type of derivative, with the buyer taking a long position, and the seller a short position. Commodities, currencies and financial instruments can all be traded in forward contracts."
Forward market,An over-the-counter market that's used for trading assets when the price of the asset is fixed for delivery at a future date.
Forward Price-to-Earnings (Forward P/E),Analysts often use forward price-to-earnings (P/E) ratio as a form of valuation metrics that incorporates estimated future earnings. Here we take a look at the forward price-to-earnings meaning to understand the valuation technique in more detail.
Forward split,"It is a manoeuvre by companies to sub-divide their shares by exchanging a larger number of new shares for a smaller number of existing shares, for example one old share becomes 100 new shares. The total value of the investors' holdings will not change."
Founding partner,"The owner or owners of the initial company acquired by private equity buyers seeking to merge a number of firms in the same line of business into a larger entity. As they were in at the start of this consolidation, they are called founding partners."
Fractional-reserve banking,A banking system in which a bank only keeps a small amount of the money deposited on hand for withdrawal. The rest is used to make loans or investments.
Frankfurt Stock Exchange,"The Frankfurt Stock Exchange (FSE), previously known as the Frankfurter Wertpapierbörse – FWB, is the largest of Germany’s seven regional stock exchanges. It is the 12th largest stock exchange in the world with a market capitalisation approaching $2bn. Located in the business district in Frankfurt, the exchange is operated by Deutsche Börse, which together with the Börse Frankfurt Zertifikate, is the repository of the exchange."
Freddie Mac definition,"Freddie Mac, or Federal Home Loan Mortgage Corp (FHLMC) is a government-sponsored company, chartered by the US Congress in 1970 with the purpose of expanding the secondary market for mortgages in the United States."
Free cash flow (FCF),"Free cash flow represents the cash that a company produces through its business operations minus any capital expenditure on maintaining or improving its assets, such as plant and machinery. The cash remaining is thus 'free' to be deployed as the company and its owners decide."
Free float,"Also known as public float, a free float refers to the number of a company's outstanding shares owned by public investors, excluding locked-in shares held by company managers and officers, controlling-interest investors, governments and other private parties."
Free Market,"A free market economy means one that is mostly driven by supply and demand and has little or no governmental interference. In a free market, buyers and sellers can exchange goods and services without any obstruction."
Free Riding,An illegal operation in which an investor using a cash account buys and sells securities without having the cash to pay for the original purchase.
FreeCreditScore.com,"A website that enables users to check their Experian credit report and FICO Score online. Previously, users had to sign up to a monthly paid service, but this is no longer required."
Freelance Economy,"The freelance economy means an economic situation in which the labour market is increasingly saturated with short-term contracts rather than full-time employment. Instead of hiring for permanent positions, companies recruit self-employed professionals to perform specific tasks for a fee."
French auction,A type of auction used for pricing initial public offerings (IPOs) in which the firm offering shares works with the market regulator to agree a share price once sealed bids have been received.
Frequency Identification,"Radio frequency identification (RFID) refers to wireless technology used to send information between a pair of devices, generally a tag and a reader. It is used in medical devices, supply chain management and most commonly product bar codes."
Frictionless market,An ideal trading environment in which there are no costs or other restraints on transactions. A frictionless market is a theoretical concept.
FT30 Index,"The FT30 Index is one of the oldest stock indices in the world, initially made up of 30 of the largest British companies. It was intended to demonstrate the strength of the British economy, listing industrial and commercial sector businesses rather than government stocks and financial services institutions."
FTSE 100,"It is the shorthand name for the Financial Times Stock Exchange (FTSE) 100 share index. It's an average of the share prices of the 100 largest, most actively traded companies on the London Stock Exchange (LSE). It started with a base of 1,000 at the end of December 1983. It is sometimes also referred to as the Footsie."
FTSE Bursa Malaysia Index,"It’s a series of indices that cover every company listed on the main market of the Bursa Malaysia, formerly the Kuala Lumpur Stock Exchange. It’s designed to track the performance of shares offered by the major companies in Malaysia."
FTSE Fledgling Index,It’s an index made up of some of the smaller companies quoted on the main market of the London Stock Exchange. It's for enterprises that aren’t big enough to be included in the FTSE All-Share Index.
FTSE futures,Financial Times Stock Exchange (FTSE) futures are future contracts for FTSE indices. Future contracts are a form of derivative contracts in which participants agree to buy an asset on a future date at a specified price. Future contracts are barometers of price expectations.
FTSE MIB index,"It is the primary benchmark for Italian equity markets and comprises the 40 most liquid and highly-capitalised stocks listed on the Borsa Italiana, the Milan-based stock exchange. The FTSE MIB index contains some of the best-known names in Italian business and industry."
FTSE MID 250 Index,It’s a stock market index made up of the UK’s next largest companies after the top 100 quoted on the London Stock Exchange. It comprises 250 mid-cap businesses not big enough to be included in the FTSE 100.
FTSE techMark Index,"It's an index that tracks the performance of technology companies quoted on the London Stock Exchange’s techMARK market, which groups together innovative firms from a wide range of sectors into a single market with its own indices."
FTSE/Mondo Visione Exchanges Index,"This is a global index that measures the performance of stock exchanges and trading floors themselves rather than just the shares traded on them. It's designed to reflect market sentiment, and helps the owners of listed exchanges compare their performance."
FTSEurofirst Euro Supersector Indices,They’re a series of specialised industry-based indices that measure the performance of different sectors across Europe. They enable investors to trade 18 industry sectors on a real-time basis.
Fuel price risk management,"It's the process of assessing when and how an organisation can best hedge against exposure to fuel price volatility. Fuel price risk management is usually referred to as bunker hedging in the marine and shipping industries, and fuel hedging in the aviation and trucking sectors."
Fully Diluted Market Capitalisation in Cryptocurrency,"Market capitalisation – or market cap for short – is defined as the total value of an asset currently in circulation. To calculate the market cap of a publicly traded company, for example, you multiply the current share price by the total number of shares outstanding."
